barcode,product_name,retailer_name,suspicious_price,median_price_for_barcode,price_ratio,retailer_count,reason_for_flag
7290111347856,אוברנייטס חיתול לילה מידה 3 6- (₪2.07 ליחידה),Be Pharm,53.4,27.735,25.797101449275363,2,Unit/Package Mismatch (Same barcode has 25.8x price variance)
7290016437652,פנטס תחתוני חיתולים האגיס פנטס מידה 6 15- (₪1.96 ליחידה),Be Pharm,50.3,26.13,25.663265306122447,2,Unit/Package Mismatch (Same barcode has 25.7x price variance)
7290016437652,פנטס תחתוני חיתולים האגיס פנטס מידה 6 15- (₪1.96 ליחידה),Super-Pharm,1.96,26.13,25.663265306122447,2,Unit/Package Mismatch (Lowest price for barcode with 25.7x variance)
7290111346538,פרידום דריי חיתולים מידה 5+ 14- (₪1.75 ליחידה),Be Pharm,43.9,43.9,25.085714285714285,3,Unit/Package Mismatch (Same barcode has 25.1x price variance)
7290111346538,פרידום דריי חיתולים מידה 5+ 14- (₪1.75 ליחידה),Super-Pharm,1.75,43.9,25.085714285714285,3,Unit/Package Mismatch (Lowest price for barcode with 25.1x variance)
7290111346538,פרידום דריי חיתולים מידה 5+ 14- (₪1.75 ליחידה),Good Pharm,43.9,43.9,25.085714285714285,3,Unit/Package Mismatch (Same barcode has 25.1x price variance)
7290111097973,"SUN&GLOW שפתון אנטי אייג'ינג להגנה גבוהה מאוד מהשמש +SPF50 (₪1,353.33 ל-)",Super-Pharm,1353.33,704.115,24.650819672131146,2,Unit/Package Mismatch (Same barcode has 24.7x price variance)
7290111097973,"SUN&GLOW שפתון אנטי אייג'ינג להגנה גבוהה מאוד מהשמש +SPF50 (₪1,353.33 ל-)",Good Pharm,54.9,704.115,24.650819672131146,2,Unit/Package Mismatch (Lowest price for barcode with 24.7x variance)
3045206312257,מגבונים לחיטוי כללי 36 יח' (₪0.41 ליחידה),Good Pharm,10.0,5.205,24.390243902439025,2,Unit/Package Mismatch (Same barcode has 24.4x price variance)
3045206312257,מגבונים לחיטוי כללי 36 יח' (₪0.41 ליחידה),Super-Pharm,0.41,5.205,24.390243902439025,2,Unit/Package Mismatch (Lowest price for barcode with 24.4x variance)
7290000197678,פרידום דריי חיתולים מידה 6 18- (₪1.81 ליחידה),Good Pharm,43.9,22.855,24.25414364640884,2,Unit/Package Mismatch (Same barcode has 24.3x price variance)
7290000197678,פרידום דריי חיתולים מידה 6 18- (₪1.81 ליחידה),Super-Pharm,1.81,22.855,24.25414364640884,2,Unit/Package Mismatch (Lowest price for barcode with 24.3x variance)
8016867009959,"מגן תחתון באריזה אישית, עשוי מ-100% כותנה אורגנית (₪1.20 ליחידה)",Be Pharm,28.9,15.049999999999999,24.083333333333332,2,Unit/Package Mismatch (Same barcode has 24.1x price variance)
8016867009959,"מגן תחתון באריזה אישית, עשוי מ-100% כותנה אורגנית (₪1.20 ליחידה)",Super-Pharm,1.2,15.049999999999999,24.083333333333332,2,Unit/Package Mismatch (Lowest price for barcode with 24.1x variance)
8700216350419,אקטיב בייבי דריי חיתולים בייבי דריי מידה 6 13- (₪1.79 ליחידה),Be Pharm,41.9,21.845,23.407821229050278,2,Unit/Package Mismatch (Same barcode has 23.4x price variance)
8700216350419,אקטיב בייבי דריי חיתולים בייבי דריי מידה 6 13- (₪1.79 ליחידה),Super-Pharm,1.79,21.845,23.407821229050278,2,Unit/Package Mismatch (Lowest price for barcode with 23.4x variance)
7290010294589,פלסטר פלוס עוצר דימום,Be Pharm,21.5,10.0,22.63157894736842,3,Unit/Package Mismatch (Same barcode has 22.6x price variance)
7290010294589,פלסטר פלוס עוצר דימום,Super-Pharm,0.95,10.0,22.63157894736842,3,Unit/Package Mismatch (Lowest price for barcode with 22.6x variance)
7290010294589,פלסטר פלוס עוצר דימום,Good Pharm,10.0,10.0,22.63157894736842,3,Unit/Package Mismatch (Same barcode has 22.6x price variance)
8700216890984,פרימיום חיתולים מידה 3 (₪1.53 ליחידה),Be Pharm,33.9,33.9,22.15686274509804,3,Unit/Package Mismatch (Same barcode has 22.2x price variance)
8700216890984,פרימיום חיתולים מידה 3 (₪1.53 ליחידה),Super-Pharm,1.53,33.9,22.15686274509804,3,Unit/Package Mismatch (Lowest price for barcode with 22.2x variance)
8700216890984,פרימיום חיתולים מידה 3 (₪1.53 ליחידה),Good Pharm,33.9,33.9,22.15686274509804,3,Unit/Package Mismatch (Same barcode has 22.2x price variance)
4005900994523,לחות עם חומצה היאלורונית - גוון ורוד (‫₪440.38 ל-‬),Good Pharm,19.9,230.14,22.12964824120603,2,Unit/Package Mismatch (Lowest price for barcode with 22.1x variance)
4005900994523,לחות עם חומצה היאלורונית - גוון ורוד (‫₪440.38 ל-‬),Super-Pharm,440.38,230.14,22.12964824120603,2,Unit/Package Mismatch (Same barcode has 22.1x price variance)
4005900994509,לחות עם חומצה היאלורונית (₪440.38 ל-),Good Pharm,19.9,230.14,22.12964824120603,2,Unit/Package Mismatch (Lowest price for barcode with 22.1x variance)
4005900994509,לחות עם חומצה היאלורונית (₪440.38 ל-),Super-Pharm,440.38,230.14,22.12964824120603,2,Unit/Package Mismatch (Same barcode has 22.1x price variance)
8016867008945,"מגן תחתון באריזת תפזורת, עשוי מ-100% כותנה אורגנית (₪1 ליחידה)",Be Pharm,21.76,11.38,21.76,2,Unit/Package Mismatch (Same barcode has 21.8x price variance)
8016867008945,"מגן תחתון באריזת תפזורת, עשוי מ-100% כותנה אורגנית (₪1 ליחידה)",Super-Pharm,1.0,11.38,21.76,2,Unit/Package Mismatch (Lowest price for barcode with 21.8x variance)
5010622005012,חוט דנטלי ללא שעווה 50 מטר (₪0.46 ל-1 מטר),Super-Pharm,0.46,10.0,21.73913043478261,3,Unit/Package Mismatch (Lowest price for barcode with 21.7x variance)
5010622005012,חוט דנטלי ללא שעווה 50 מטר (₪0.46 ל-1 מטר),Be Pharm,10.0,10.0,21.73913043478261,3,Unit/Package Mismatch (Same barcode has 21.7x price variance)
5010622005012,חוט דנטלי ללא שעווה 50 מטר (₪0.46 ל-1 מטר),Good Pharm,10.0,10.0,21.73913043478261,3,Unit/Package Mismatch (Same barcode has 21.7x price variance)
5016221202548,חוט דנטלי עם ידית לשימוש רב פעמי מנטה אקולוגי (₪0.60 ליחידה),Be Pharm,12.9,6.75,21.5,2,Unit/Package Mismatch (Same barcode has 21.5x price variance)
5016221202548,חוט דנטלי עם ידית לשימוש רב פעמי מנטה אקולוגי (₪0.60 ליחידה),Super-Pharm,0.6,6.75,21.5,2,Unit/Package Mismatch (Lowest price for barcode with 21.5x variance)
0305210256712,מיני לשפתיים אורגינל,HaMashbir 365,11.9,133.805,21.488235294117647,2,Unit/Package Mismatch (Lowest price for barcode with 21.5x variance)
0305210437371,מיני לשפתיים ורוד עדין,Super-Pharm,255.71,133.805,21.488235294117647,2,Unit/Package Mismatch (Same barcode has 21.5x price variance)
0305210437371,מיני לשפתיים ורוד עדין,HaMashbir 365,11.9,133.805,21.488235294117647,2,Unit/Package Mismatch (Lowest price for barcode with 21.5x variance)
0305210256712,מיני לשפתיים אורגינל,Super-Pharm,255.71,133.805,21.488235294117647,2,Unit/Package Mismatch (Same barcode has 21.5x price variance)
7610458017623,טייפ חוט דנטלי מטפלון 1762 20 מטר (₪1.90 ל-1 מטר),Super-Pharm,1.9,20.9,21.0,2,Unit/Package Mismatch (Lowest price for barcode with 21.0x variance)
7610458017623,טייפ חוט דנטלי מטפלון 1762 20 מטר (₪1.90 ל-1 מטר),Be Pharm,39.9,20.9,21.0,2,Unit/Package Mismatch (Same barcode has 21.0x price variance)
