barcode,product_name,retailer_name,suspicious_price,median_price_for_barcode,reason_for_flag
34000544028,טוויזלרס - ממתק בטעם תות 198 גרם,Good Pharm,8.9,8.9,Suspiciously Low Price
34000544431,טוויזלרס - ממתק בטעם דובדבן 172 גרם,Good Pharm,8.9,8.9,Suspiciously Low Price
3430750035064,זאן און פרובנס לבנדר סבון מוצק 100 גרם,Super-Pharm,30.0,30.0,Suspected Unit Price (Keyword)
3491902,פלוריש ויטמין D טיפות,Be Pharm,9.3,9.3,Suspiciously Low Price
3574660058857,ג'ונסונס בייבי שמן לתינוק (₪7.38 ל-),Super-Pharm,7.38,19.14,Suspiciously Low Price
3574660234480,או-בה פרוקומפורט נורמל 8 יחידות,Super-Pharm,9.9,9.9,Suspiciously Low Price
3574660530278,מינט שטיפת פה (₪9.37 ל-),Good Pharm,6.9,8.135,Suspiciously Low Price
3574660530278,מינט שטיפת פה (₪9.37 ל-),Super-Pharm,9.37,8.135,Suspiciously Low Price
3574660571783,פה לילדים בטעם פירות יער (₪6.18 ל-),Super-Pharm,6.18,18.54,Suspiciously Low Price
3574661003917,פה טוטאל קר (₪8.76 ל-),Super-Pharm,8.76,9.379999999999999,Suspiciously Low Price
3574661003924,קר שטיפת פה (₪6.18 ל-),Super-Pharm,6.18,13.09,Suspiciously Low Price
3574661114620,ZERO שטיפת פה בטעם מעודן ללא אלכוהול (₪8.36 ל-),Super-Pharm,8.36,9.18,Suspiciously Low Price
3574661114637,מינט שטיפת פה בטעם מעודן (₪5.78 ל-),Super-Pharm,5.78,11.84,Suspiciously Low Price
3574661352275,פה לילדים בטעם פירות יער (₪8.36 ל-),Super-Pharm,8.36,12.9,Suspiciously Low Price
3574661352527,HYDRO BOOST קרם עיניים (₪553.33 ל-),Super-Pharm,553.33,72.4,Potential Pricing Error
3574661363998,ירוק שטיפת פה בטעם מעודן (₪6.18 ל-),Super-Pharm,6.18,13.09,Suspiciously Low Price
3574661425696,ג'ונסונס ג'ונסון בייבי תחליב לתינוק (₪6.78 ל-),Super-Pharm,6.78,20.34,Suspiciously Low Price
3574661427935,ג'ונסונס ג'ונסון בייבי תרחיץ ושמפו מגע כותנה (₪5.18 ל-),Super-Pharm,5.18,15.39,Suspiciously Low Price
3574661428055,ג'ונסונס ג'ונסון בייבי תחליב לחות מגע כותנה (₪7.18 ל-),Super-Pharm,7.18,21.04,Suspiciously Low Price
3574661444963,ליסטרין סוכריות 8 יח,Super-Pharm,9.9,9.9,Suspiciously Low Price
3574661476902,או-בה פרוקומפורט סופר 8 יחידות,Good Pharm,9.9,11.4,Suspiciously Low Price
3574661491806,ADVANCED WHITE שטיפת פה עם פעולה כפולה (₪6.18 ל-),Super-Pharm,6.18,15.9,Suspiciously Low Price
3574661520353,CLEAR & DEFEND ג'ל לטיפול מהיר (₪366.67 ל-),Super-Pharm,366.67,50.0,Potential Pricing Error
3574661530697,ג'ונסונס ג'ונסון בייבי תרחיץ ושמפו לתינוק (₪4.58 ל-),Super-Pharm,4.58,13.54,Suspiciously Low Price
3574661552583,קרפרי מגן תחתון לא מבושם 20 יחידות,Good Pharm,7.9,7.9,Suspiciously Low Price
3574661552583,קרפרי מגן תחתון לא מבושם 20 יחידות,Super-Pharm,7.9,7.9,Suspiciously Low Price
3574661561219,פה אדוונס ווייט (₪8.76 ל-),Super-Pharm,8.76,9.379999999999999,Suspiciously Low Price
3574661643359,שטיפת פה אנאמל פרוטקט להגנה על זגוגית השן (₪6.18 ל-),Super-Pharm,6.18,13.09,Suspiciously Low Price
3574661650029,שטיפת פה אנאמל גאם להגנה על החניכיים (₪6.18 ל-),Super-Pharm,6.18,15.9,Suspiciously Low Price
3574661699523,RETINOL BOOST קרם עיניים (₪740 ל-),Super-Pharm,740.0,99.45,Potential Pricing Error
