retailer_product_id,barcode,product_name,original_retailer_name,current_price,pack_size,normalized_price,store_id,can_normalize
10396307,7290008092241,ג'נבול קאפס כמוסות ג'ל 20 כמוסות (₪1.54 ליחידה),ג'נבול קאפס כמוסות ג'ל 20 כמוסות (₪1.54 ליחידה),1.54,20.0,30.8,52001,True
10396320,7290006497758,ארומה סנס מארז שמן שקדים מתוקים - זוג (₪30.45 ל-),ארומה סנס מארז שמן שקדים מתוקים - זוג (₪30.45 ל-),30.45,2.0,60.9,52001,True
10396407,7290111596865,לייף אוריאל מדרסי ג'ל לאשה ורוד 302W זוג מדרסים (₪67.45 ליחי,לייף אוריאל מדרסי ג'ל לאשה ורוד 302W זוג מדרסים (₪67.45 ליחי,67.45,2.0,134.9,52001,True
10396408,7297046820010,אוריאל רפידות אנטי ריח לילדים מספר 370 זוג רפידות (₪12.95 לי,אוריאל רפידות אנטי ריח לילדים מספר 370 זוג רפידות (₪12.95 לי,12.95,2.0,25.9,52001,True
10396409,7290111596858,לייף אוריאל מדרסי ג'ל לגבר כחול 302M זוג מדרסים (₪67.45 ליחי,לייף אוריאל מדרסי ג'ל לגבר כחול 302M זוג מדרסים (₪67.45 ליחי,67.45,2.0,134.9,52001,True
10396411,7290014233744,Sensiteva 7 זוגות גרבי בריאות (₪14.14 ליחידה),Sensiteva 7 זוגות גרבי בריאות (₪14.14 ליחידה),14.14,2.0,28.28,52001,True
10396483,7290006693020,אופטיפרי אקספרס תמיסת חיטוי רב תכליתית לעדשות מגע מארז שלישי,אופטיפרי אקספרס תמיסת חיטוי רב תכליתית לעדשות מגע מארז שלישי,13.25,3.0,39.75,52001,True
10396484,7290004248376,+ LOMB תמיסה לעדשות רניו מולטי פלוס שלישייה (₪13.06 ל-),+ LOMB תמיסה לעדשות רניו מולטי פלוס שלישייה (₪13.06 ל-),13.06,3.0,39.18,52001,True
10396489,7290109315058,לייף ALL IN ONE Plus תמיסה רב-תכלתית בתוספת מסיר אנזימטי מאר,לייף ALL IN ONE Plus תמיסה רב-תכלתית בתוספת מסיר אנזימטי מאר,9.5,3.0,28.5,52001,True
10396493,7290109315041,לייף SALINE תמיסת סליין סטרילית אריזת זוג - * 2 (₪7.05 ל-),לייף SALINE תמיסת סליין סטרילית אריזת זוג - * 2 (₪7.05 ל-),7.05,2.0,14.1,52001,True
10396979,7297046124392,אוריאל גרבי טיסה 39-42 זוג גרביים (₪65.50 ליחידה),אוריאל גרבי טיסה 39-42 זוג גרביים (₪65.50 ליחידה),65.5,2.0,131.0,52001,True
10411640,0693493184731,ביאמבה פאמפ אפUP משאבת חלב זוגית - biamba pump UP 2 double (,ביאמבה פאמפ אפUP משאבת חלב זוגית - biamba pump UP 2 double (,495.0,2.0,990.0,52001,True
